userid,augmentin,normix,ciproxin,levoxacin,monuril,velamox,rocefin,zitromax,male_patients,female_patients,age_range,prescriptions
R4MUWZR,21,19,21,7,7,0,4,5,120,153,3,3904
Q55EUPC,4,37,7,2,1,0,0,2,133,165,4,6761
APFJRNA,1,141,111,64,102,44,43,154,327,423,4,24540
DRQTRGJ,5,123,61,55,79,98,45,39,303,397,3,17862
8RDHQDF,274,90,74,85,40,5,90,34,290,319,4,14066
DSJYR7B,242,131,53,35,41,72,104,18,322,399,4,15845
PECC4HQ,34,21,19,3,5,2,6,9,72,129,4,2520
67MHYS8,34,56,46,42,42,5,19,20,148,209,4,5461
PSQJR9E,383,167,100,81,119,69,77,103,313,569,4,26046
YJQ7Y3Q,103,101,33,58,32,3,26,29,173,221,4,7446
BP7QT84,152,141,48,79,82,17,55,38,284,377,4,12118
7S6KQT9,159,45,51,24,32,2,16,6,136,159,4,6722
PC6SUMV,15,70,11,21,55,46,24,23,279,363,3,14843
SN8GWQ5,112,28,43,27,22,125,73,6,203,263,4,14564
69R5SE8,304,102,75,98,84,13,44,31,263,322,4,17996
PQTPTRF,26,25,3,3,3,5,3,6,126,117,3,2145
DQ8HQ4W,108,54,108,217,69,20,47,274,336,413,4,23377
MJQYDC5,288,243,95,111,143,36,50,192,331,457,4,27825
7BTSUPC,110,62,30,58,37,2,24,47,111,200,4,8019
RCQTQFM,521,262,117,144,122,51,168,125,396,482,4,26108
X446R5U,104,81,78,58,43,10,7,35,180,316,4,7156
YS7R4E8,89,25,58,75,74,2,57,77,241,315,4,14015
93QCTJV,45,20,10,17,3,42,11,16,301,376,4,5261
7PTPSVJ,141,37,42,43,33,7,32,25,198,304,4,7932
RK98UBC,79,33,37,13,49,6,19,12,98,149,4,9449
Y8XHTC5,74,19,59,34,21,4,22,11,178,229,4,5990
QJUKTHQ,177,105,48,44,39,24,49,79,212,435,4,11248
WSYYQGJ,229,36,69,47,38,11,41,30,145,191,3,8201
